ubuntu@ip-172-30-0-8:~/code/quicksel/pyscript$ python cost_comp2.py
price_low: 0, quantity_high: 5, count: 1200252
price_low: 0, quantity_high: 10, count: 1200252
price_low: 0, quantity_high: 15, count: 1200252
price_low: 0, quantity_high: 20, count: 1200252
price_low: 0, quantity_high: 25, count: 1200252
price_low: 0, quantity_high: 30, count: 1200252
price_low: 0, quantity_high: 35, count: 1200252
price_low: 0, quantity_high: 40, count: 1200252
price_low: 0, quantity_high: 45, count: 1200252
price_low: 0, quantity_high: 50, count: 1200252
price_low: 10000, quantity_high: 5, count: 29881
price_low: 10000, quantity_high: 10, count: 1517195
price_low: 10000, quantity_high: 15, count: 1659019
price_low: 10000, quantity_high: 20, count: 1659019
price_low: 10000, quantity_high: 25, count: 1659019
price_low: 10000, quantity_high: 30, count: 1659019
price_low: 10000, quantity_high: 35, count: 1659019
price_low: 10000, quantity_high: 40, count: 1659019
price_low: 10000, quantity_high: 45, count: 1659019
price_low: 10000, quantity_high: 50, count: 1659019
price_low: 20000, quantity_high: 5, count: 0
price_low: 20000, quantity_high: 10, count: 29502
price_low: 20000, quantity_high: 15, count: 930451
price_low: 20000, quantity_high: 20, count: 1563829
price_low: 20000, quantity_high: 25, count: 1661423
price_low: 20000, quantity_high: 30, count: 1661423
price_low: 20000, quantity_high: 35, count: 1661423
price_low: 20000, quantity_high: 40, count: 1661423
price_low: 20000, quantity_high: 45, count: 1661423
price_low: 20000, quantity_high: 50, count: 1661423
price_low: 30000, quantity_high: 5, count: 0
price_low: 30000, quantity_high: 10, count: 0
price_low: 30000, quantity_high: 15, count: 29712
price_low: 30000, quantity_high: 20, count: 669047
price_low: 30000, quantity_high: 25, count: 1193238
price_low: 30000, quantity_high: 30, count: 1580841
price_low: 30000, quantity_high: 35, count: 1666529
price_low: 30000, quantity_high: 40, count: 1666529
price_low: 30000, quantity_high: 45, count: 1666529
price_low: 30000, quantity_high: 50, count: 1666529
price_low: 40000, quantity_high: 5, count: 0
price_low: 40000, quantity_high: 10, count: 0
price_low: 40000, quantity_high: 15, count: 0
price_low: 40000, quantity_high: 20, count: 29519
price_low: 40000, quantity_high: 25, count: 522897
price_low: 40000, quantity_high: 30, count: 950653
price_low: 40000, quantity_high: 35, count: 1315892
price_low: 40000, quantity_high: 40, count: 1588568
price_low: 40000, quantity_high: 45, count: 1667390
price_low: 40000, quantity_high: 50, count: 1667950
price_low: 50000, quantity_high: 5, count: 0
price_low: 50000, quantity_high: 10, count: 0
price_low: 50000, quantity_high: 15, count: 0
price_low: 50000, quantity_high: 20, count: 0
price_low: 50000, quantity_high: 25, count: 29526
price_low: 50000, quantity_high: 30, count: 427890
price_low: 50000, quantity_high: 35, count: 791247
price_low: 50000, quantity_high: 40, count: 1109265
price_low: 50000, quantity_high: 45, count: 1388587
price_low: 50000, quantity_high: 50, count: 1594051
price_low: 60000, quantity_high: 5, count: 0
price_low: 60000, quantity_high: 10, count: 0
price_low: 60000, quantity_high: 15, count: 0
price_low: 60000, quantity_high: 20, count: 0
price_low: 60000, quantity_high: 25, count: 0
price_low: 60000, quantity_high: 30, count: 28937
price_low: 60000, quantity_high: 35, count: 361485
price_low: 60000, quantity_high: 40, count: 677088
price_low: 60000, quantity_high: 45, count: 953829
price_low: 60000, quantity_high: 50, count: 1203466
price_low: 70000, quantity_high: 5, count: 0
price_low: 70000, quantity_high: 10, count: 0
price_low: 70000, quantity_high: 15, count: 0
price_low: 70000, quantity_high: 20, count: 0
price_low: 70000, quantity_high: 25, count: 0
price_low: 70000, quantity_high: 30, count: 0
price_low: 70000, quantity_high: 35, count: 29660
price_low: 70000, quantity_high: 40, count: 314101
price_low: 70000, quantity_high: 45, count: 591874
price_low: 70000, quantity_high: 50, count: 841585
price_low: 80000, quantity_high: 5, count: 0
price_low: 80000, quantity_high: 10, count: 0
price_low: 80000, quantity_high: 15, count: 0
price_low: 80000, quantity_high: 20, count: 0
price_low: 80000, quantity_high: 25, count: 0
price_low: 80000, quantity_high: 30, count: 0
price_low: 80000, quantity_high: 35, count: 0
price_low: 80000, quantity_high: 40, count: 29221
price_low: 80000, quantity_high: 45, count: 278085
price_low: 80000, quantity_high: 50, count: 526382
price_low: 90000, quantity_high: 5, count: 0
price_low: 90000, quantity_high: 10, count: 0
price_low: 90000, quantity_high: 15, count: 0
price_low: 90000, quantity_high: 20, count: 0
price_low: 90000, quantity_high: 25, count: 0
price_low: 90000, quantity_high: 30, count: 0
price_low: 90000, quantity_high: 35, count: 0
price_low: 90000, quantity_high: 40, count: 0
price_low: 90000, quantity_high: 45, count: 29198
price_low: 90000, quantity_high: 50, count: 247868
price_low: 100000, quantity_high: 5, count: 0
price_low: 100000, quantity_high: 10, count: 0
price_low: 100000, quantity_high: 15, count: 0
price_low: 100000, quantity_high: 20, count: 0
price_low: 100000, quantity_high: 25, count: 0
price_low: 100000, quantity_high: 30, count: 0
price_low: 100000, quantity_high: 35, count: 0
price_low: 100000, quantity_high: 40, count: 0
price_low: 100000, quantity_high: 45, count: 0
price_low: 100000, quantity_high: 50, count: 29341
ubuntu@ip-172-30-0-8:~/code/quicksel/pyscript$
ubuntu@ip-172-30-0-8:~/code/quicksel/pyscript$
ubuntu@ip-172-30-0-8:~/code/quicksel/pyscript$
